action_counts,buy_fills,fill_opportunity_quantity,fill_ratio,fills,final_inventory,gross_spread_capture_pnl,liquidation_cost_pnl,mark_to_market_pnl,max_abs_inventory,mean_abs_inventory,negative_markout_loss,negative_markout_quantity,net_pnl,policy,post_fill_markout_pnl,quote_opportunities,regime,seed,sell_fills,steps,strategy,total_reward,transaction_cost_pnl
,27,145,0.35862069,52,2,116.0,4.04,54.95999999998094,5,1.5133333333333334,4.0,4,50.91999999998094,inventory_aware,84.0,107,calm_low_cost,100013,25,300,inventory_aware,50.91999999998094,1.0400000000000005
,27,148,0.35135135,52,2,116.0,4.04,54.95999999998094,5,1.5133333333333334,4.0,4,50.91999999998094,avellaneda_stoikov,84.0,109,calm_low_cost,100013,25,300,avellaneda_stoikov,50.91999999998094,1.0400000000000005
,23,126,0.35714286,45,1,100.0,2.02,91.09999999998035,4,1.22,1.0,1,89.07999999998036,bayesian_toxicity,72.0,93,calm_low_cost,100013,22,300,bayesian_toxicity,89.07999999998036,0.9000000000000004
,54,207,0.46376812,96,12,192.0,25.799999999999997,-174.39999999989232,15,9.85,6.0,6,-200.19999999989233,fixed_spread,156.0,155,calm_high_cost,100014,42,300,fixed_spread,-200.19999999989233,14.400000000000018
,38,158,0.4556962,72,4,163.0,8.6,77.2000000000262,5,1.6,4.0,4,68.6000000000262,inventory_aware,135.0,121,calm_high_cost,100014,34,300,inventory_aware,68.6000000000262,10.80000000000001
,38,158,0.4556962,72,4,163.0,8.6,77.2000000000262,5,1.6,4.0,4,68.6000000000262,avellaneda_stoikov,135.0,121,calm_high_cost,100014,34,300,avellaneda_stoikov,68.6000000000262,10.80000000000001
,31,138,0.43478261,60,2,132.0,4.3,119.00000000001455,3,1.1466666666666667,8.0,7,114.70000000001455,bayesian_toxicity,102.0,109,calm_high_cost,100014,29,300,bayesian_toxicity,114.70000000001455,9.000000000000004
,54,241,0.44813278,108,0,216.0,0.0,-262.16000000011263,13,4.91,97.0,56,-262.16000000011263,fixed_spread,11.0,183,volatile_low_cost,100015,54,300,fixed_spread,-262.16000000011263,2.160000000000001
,45,200,0.435,87,3,196.0,6.0600000000000005,42.25999999996202,4,1.5433333333333332,63.0,36,36.19999999996202,inventory_aware,34.0,152,volatile_low_cost,100015,42,300,inventory_aware,36.19999999996202,1.740000000000001
,45,203,0.42857143,87,3,194.0,6.0600000000000005,20.25999999996202,6,1.5966666666666667,60.0,34,14.199999999962019,avellaneda_stoikov,36.0,152,volatile_low_cost,100015,42,300,avellaneda_stoikov,14.199999999962019,1.740000000000001
,26,137,0.37956204,52,0,134.0,0.0,15.959999999977299,3,0.8633333333333333,26.0,16,15.959999999977299,bayesian_toxicity,36.0,105,volatile_low_cost,100015,26,300,bayesian_toxicity,15.959999999977299,1.0400000000000005
,60,248,0.48790323,121,-1,242.0,2.15,241.84999999999673,8,3.5733333333333333,99.0,55,239.69999999999672,fixed_spread,12.0,190,volatile_high_cost,100016,61,300,fixed_spread,239.69999999999672,18.150000000000006
,47,203,0.46305419,94,0,216.0,0.0,123.90000000000691,5,1.93,58.0,33,123.90000000000691,inventory_aware,53.0,153,volatile_high_cost,100016,47,300,inventory_aware,123.90000000000691,14.10000000000002
,50,211,0.47393365,100,0,222.0,0.0,138.99999999998363,6,2.2333333333333334,69.0,42,138.99999999998363,avellaneda_stoikov,41.0,160,volatile_high_cost,100016,50,300,avellaneda_stoikov,138.99999999998363,15.000000000000021
,31,146,0.43150685,63,-1,160.0,2.15,-11.449999999980719,3,0.9566666666666667,38.0,21,-13.599999999980719,bayesian_toxicity,27.0,112,volatile_high_cost,100016,32,300,bayesian_toxicity,-13.599999999980719,9.450000000000006
,35,186,0.43010753,80,-10,160.0,20.2,99.39999999987776,16,7.8,4.0,4,79.19999999987776,fixed_spread,120.0,135,calm_low_cost,100017,45,300,fixed_spread,79.19999999987776,1.600000000000001
,30,157,0.37579618,59,1,126.0,2.02,82.81999999997424,4,1.3866666666666667,3.0,3,80.79999999997425,inventory_aware,95.0,113,calm_low_cost,100017,29,300,inventory_aware,80.79999999997425,1.1800000000000006
,30,158,0.37341772,59,1,126.0,2.02,82.81999999997424,4,1.3866666666666667,3.0,3,80.79999999997425,avellaneda_stoikov,95.0,114,calm_low_cost,100017,29,300,avellaneda_stoikov,80.79999999997425,1.1800000000000006
,26,134,0.39552239,53,-1,125.0,2.02,104.93999999997686,3,1.1333333333333333,3.0,3,102.91999999997687,bayesian_toxicity,95.0,98,calm_low_cost,100017,27,300,bayesian_toxicity,102.91999999997687,1.0600000000000005
,56,216,0.43981481,95,17,190.0,36.55,193.75000000032014,19,10.666666666666666,7.0,7,157.20000000032013,fixed_spread,139.0,165,calm_high_cost,100018,39,300,fixed_spread,157.20000000032013,14.250000000000016
,38,185,0.40540541,75,1,162.0,2.15,169.75000000001273,5,1.29,6.0,6,167.60000000001273,inventory_aware,113.0,141,calm_high_cost,100018,37,300,inventory_aware,167.60000000001273,11.25000000000001
,38,182,0.41208791,75,1,166.0,2.15,175.75000000001273,6,1.39,3.0,3,173.60000000001273,avellaneda_stoikov,125.0,138,calm_high_cost,100018,37,300,avellaneda_stoikov,173.60000000001273,11.25000000000001
,30,152,0.38157895,58,2,132.0,4.3,115.30000000001382,5,1.4733333333333334,5.0,5,111.00000000001383,bayesian_toxicity,96.0,115,calm_high_cost,100018,28,300,bayesian_toxicity,111.00000000001383,8.700000000000005
,71,234,0.48717949,114,28,228.0,56.56,-487.280000000319,40,18.726666666666667,114.0,58,-543.8400000003189,fixed_spread,-22.0,179,volatile_low_cost,100019,43,300,fixed_spread,-543.8400000003189,2.2800000000000016
,34,176,0.40909091,72,-4,170.0,8.08,-75.44000000003143,5,2.2533333333333334,55.0,29,-83.52000000003143,inventory_aware,23.0,136,volatile_low_cost,100019,38,300,inventory_aware,-83.52000000003143,1.4400000000000008
,39,192,0.42708333,82,-4,185.0,8.08,-16.640000000079453,11,3.1333333333333333,66.0,32,-24.72000000007945,avellaneda_stoikov,21.0,146,volatile_low_cost,100019,43,300,avellaneda_stoikov,-24.72000000007945,1.640000000000001
,21,112,0.39285714,44,-2,115.0,4.04,-60.88000000002285,5,1.2833333333333334,33.0,18,-64.92000000002285,bayesian_toxicity,4.0,90,volatile_low_cost,100019,23,300,bayesian_toxicity,-64.92000000002285,0.8800000000000004
,40,226,0.46460177,105,-25,210.0,53.75,-16.749999999650754,28,15.9,69.0,40,-70.49999999965075,fixed_spread,30.0,179,volatile_high_cost,100020,65,300,fixed_spread,-70.49999999965075,15.750000000000021
,35,150,0.47333333,71,-1,160.0,2.15,-117.64999999999964,5,2.1966666666666668,47.0,30,-119.79999999999964,inventory_aware,13.0,122,volatile_high_cost,100020,36,300,inventory_aware,-119.79999999999964,10.65000000000001
,38,167,0.46107784,77,-1,170.0,2.15,-96.55000000000109,6,2.18,52.0,31,-98.7000000000011,avellaneda_stoikov,14.0,136,volatile_high_cost,100020,39,300,avellaneda_stoikov,-98.7000000000011,11.55000000000001
,23,111,0.41441441,46,0,113.0,0.0,-107.89999999999418,4,1.3633333333333333,25.0,15,-107.89999999999418,bayesian_toxicity,15.0,91,volatile_high_cost,100020,23,300,bayesian_toxicity,-107.89999999999418,6.900000000000003
,43,194,0.44329897,86,0,172.0,0.0,212.27999999995518,6,2.236666666666667,6.0,6,212.27999999995518,fixed_spread,117.0,142,calm_low_cost,100021,43,300,fixed_spread,212.27999999995518,1.720000000000001
,35,158,0.4556962,72,-2,158.0,4.04,147.55999999996857,4,1.64,4.0,4,143.51999999996858,inventory_aware,116.0,116,calm_low_cost,100021,37,300,inventory_aware,143.51999999996858,1.4400000000000008
,34,162,0.43209877,70,-2,157.0,4.04,159.59999999996944,6,1.85,4.0,4,155.55999999996945,avellaneda_stoikov,110.0,118,calm_low_cost,100021,36,300,avellaneda_stoikov,155.55999999996945,1.4000000000000008
,26,138,0.39130435,54,-2,129.0,4.04,114.91999999997643,4,1.0333333333333334,1.0,1,110.87999999997642,bayesian_toxicity,100.0,105,calm_low_cost,100021,28,300,bayesian_toxicity,110.87999999997642,1.0800000000000005
,31,162,0.39506173,64,-2,128.0,4.3,99.3999999999869,8,2.986666666666667,4.0,4,95.0999999999869,fixed_spread,84.0,127,calm_high_cost,100022,33,300,fixed_spread,95.0999999999869,9.600000000000007
,26,138,0.36231884,50,2,109.0,4.3,87.50000000001091,3,1.4433333333333334,4.0,4,83.20000000001092,inventory_aware,73.0,106,calm_high_cost,100022,24,300,inventory_aware,83.20000000001092,7.5000000000000036
,26,138,0.36231884,50,2,109.0,4.3,87.50000000001091,3,1.4433333333333334,4.0,4,83.20000000001092,avellaneda_stoikov,73.0,106,calm_high_cost,100022,24,300,avellaneda_stoikov,83.20000000001092,7.5000000000000036
,23,112,0.39285714,44,2,108.0,4.3,86.40000000001237,3,1.4866666666666666,2.0,2,82.10000000001237,bayesian_toxicity,77.0,89,calm_high_cost,100022,21,300,bayesian_toxicity,82.10000000001237,6.600000000000001
